FileName,TargetValue
you_20241113162145_500.csv,0.50125512
you_20241113162235_500.csv,0.49953584
you_20241113162321_500.csv,0.50249568
you_20241113162511_500.csv,0.50585572
you_20241113162602_500.csv,0.50227096
you_20241113162850_500.csv,0.50052252
you_20241113162929_500.csv,0.50175324
you_20241113163019_500.csv,0.50216348
you_20241113163112_500.csv,0.49622456
you_20241113163158_500.csv,0.49877408
you_20241113163239_500.csv,0.50042488
you_20241113163320_500.csv,0.5020462
you_20241113163356_500.csv,0.7943346
you_20241113163507_500.csv,0.50104988
you_20241113163540_500.csv,0.49806096
you_20241113163614_500.csv,0.50186076
you_20241113163652_500.csv,0.502437
you_20241113163905_500.csv,0.49966276
you_20241113163941_500.csv,0.50086432
you_20241113164019_500.csv,0.49915504
you_20241113164049_500.csv,0.50158732
you_20241113164131_500.csv,0.66264248
you_20241113164303_500.csv,0.146182076923077
you_20241113164334_500.csv,0.49866652
you_20241113164407_500.csv,0.50243704
you_20241113164439_500.csv,0.5007864
you_20241113164514_500.csv,0.49858844
you_20241113164547_500.csv,0.50287644
you_20241113164625_500.csv,0.50476192
you_20241113164739_500.csv,0.499653
you_20241113165005_500.csv,0.50368728
you_20241113165037_500.csv,0.50010248
you_20241113165112_500.csv,0.5007568
you_20241113165146_500.csv,0.50752628
you_20241113165222_500.csv,0.50535768
you_20241113165253_500.csv,0.50337472
you_20241113165328_500.csv,0.5032478
you_20241113165400_500.csv,0.150632528
you_20241113165433_500.csv,0.50510364
you_20241113165508_500.csv,1.04400492
you_20241113165547_500.csv,0.4962148
you_20241113165623_500.csv,0.50229052
you_20241113165701_500.csv,0.49736748
you_20241113165750_500.csv,0.50257372
you_20241113165829_500.csv,0.50228072
you_20241113165902_500.csv,0.49950668
