FileName,MaxDiffAIN2,DValue
you_20241113162145_500.csv,0.50125512,55.7270062672
you_20241113162235_500.csv,0.49953584,55.4982388704
you_20241113162321_500.csv,0.50249568,55.8920751808
you_20241113162511_500.csv,0.50585572,56.3391621032
you_20241113162602_500.csv,0.50227096,55.8621739376
you_20241113162850_500.csv,0.50052252,55.6295265112
you_20241113162929_500.csv,0.50175324,55.7932861144
you_20241113163019_500.csv,0.50216348,55.8478726488
you_20241113163112_500.csv,0.49622456,55.0576399536
you_20241113163158_500.csv,0.49877408,55.3968790848
you_20241113163239_500.csv,0.50042488,55.6165345328
you_20241113163320_500.csv,0.5020462,55.832267372
you_20241113163356_500.csv,0.7943346,94.724161876
you_20241113163507_500.csv,0.50104988,55.6996970328
you_20241113163540_500.csv,0.49806096,55.3019913376
you_20241113163614_500.csv,0.50186076,55.8075927256
you_20241113163652_500.csv,0.502437,55.88426722
you_20241113163905_500.csv,0.49966276,55.5151268456
you_20241113163941_500.csv,0.50086432,55.6750064192
you_20241113164019_500.csv,0.49915504,55.4475696224
you_20241113164049_500.csv,0.50158732,55.7712087992
you_20241113164131_500.csv,0.66264248,77.2012083888
you_20241113164303_500.csv,0.146182076923077,8.48098715538461
you_20241113164334_500.csv,0.49866652,55.3825671512
you_20241113164407_500.csv,0.50243704,55.8842725424
you_20241113164439_500.csv,0.5007864,55.664638384
you_20241113164514_500.csv,0.49858844,55.3721778264
you_20241113164547_500.csv,0.50287644,55.9427391064
you_20241113164625_500.csv,0.50476192,56.1936210752
you_20241113164739_500.csv,0.499653,55.51382818
you_20241113165005_500.csv,0.50368728,56.0506294768
you_20241113165037_500.csv,0.50010248,55.5736359888
you_20241113165112_500.csv,0.5007568,55.660699808
you_20241113165146_500.csv,0.50752628,56.5614468168
you_20241113165222_500.csv,0.50535768,56.2728929008
you_20241113165253_500.csv,0.50337472,56.0090402432
you_20241113165328_500.csv,0.5032478,55.992152268
you_20241113165400_500.csv,0.150632528,9.07316417568
you_20241113165433_500.csv,0.50510364,56.2390903384
you_20241113165508_500.csv,1.04400492,127.9452946552
you_20241113165547_500.csv,0.4962148,55.056341288
you_20241113165623_500.csv,0.50229052,55.8647765912
you_20241113165701_500.csv,0.49736748,55.2097168888
you_20241113165750_500.csv,0.50257372,55.9024591832
you_20241113165829_500.csv,0.50228072,55.8634726032
you_20241113165902_500.csv,0.49950668,55.4943588408
